Date,Open,High,Low,Close,Volume,Price_Change,Percentage_Change,Average_Price,Range
16/08/2022,4.66,4.69,4.59,4.6,18522160,-0.06,-1.287553648,4.64,0.1
15/08/2022,4.8,4.85,4.66,4.66,15251280,-0.14,-2.916666667,4.755,0.19
12/08/2022,4.73,4.88,4.69,4.88,15799320,0.15,3.171247357,4.785,0.19
11/08/2022,4.7,4.75,4.68,4.75,14833260,0.05,1.063829787,4.715,0.07
10/08/2022,4.61,4.74,4.61,4.68,21229770,0.07,1.518438178,4.675,0.13
09/08/2022,4.34,4.58,4.34,4.58,17764891,0.24,5.529953917,4.46,0.24
08/08/2022,4.32,4.4,4.32,4.4,12761530,0.08,1.851851852,4.36,0.08
05/08/2022,4.3,4.33,4.26,4.32,9533312,0.02,0.465116279,4.295,0.07
04/08/2022,4.33,4.34,4.29,4.32,9804827,-0.01,-0.230946882,4.315,0.05
03/08/2022,4.26,4.33,4.24,4.33,13554820,0.07,1.643192488,4.285,0.09
02/08/2022,4.22,4.28,4.19,4.28,12766350,0.06,1.421800948,4.235,0.09
01/08/2022,4.28,4.28,4.18,4.23,14287930,-0.05,-1.168224299,4.23,0.1
29/07/2022,4.25,4.29,4.24,4.28,15585560,0.03,0.705882353,4.265,0.05
28/07/2022,4.2,4.27,4.19,4.27,14509260,0.07,1.666666667,4.23,0.08
27/07/2022,4.19,4.21,4.19,4.2,13736370,0.01,0.238663484,4.2,0.02
26/07/2022,4.2,4.21,4.19,4.2,11580260,0,0,4.2,0.02
25/07/2022,4.16,4.21,4.16,4.2,15578080,0.04,0.961538462,4.185,0.05
22/07/2022,4.19,4.21,4.18,4.21,13969790,0.02,0.477326969,4.195,0.03
21/07/2022,4.19,4.21,4.16,4.19,12000950,0,0,4.185,0.05
20/07/2022,4.22,4.23,4.18,4.18,12650230,-0.04,-0.947867299,4.205,0.05
19/07/2022,4.21,4.24,4.19,4.24,11315850,0.03,0.712589074,4.215,0.05
18/07/2022,4.22,4.23,4.18,4.21,11693420,-0.01,-0.236966825,4.205,0.05
15/07/2022,4.17,4.23,4.16,4.22,11312920,0.05,1.199040767,4.195,0.07
14/07/2022,4.16,4.24,4.15,4.17,11950710,0.01,0.240384615,4.195,0.09
13/07/2022,4.23,4.25,4.16,4.16,13030890,-0.07,-1.654846336,4.205,0.09
12/07/2022,4.2,4.24,4.19,4.23,12071980,0.03,0.714285714,4.215,0.05
07/07/2022,4.19,4.26,4.16,4.25,18255949,0.06,1.431980907,4.21,0.1
06/07/2022,4.14,4.19,4.09,4.19,13816850,0.05,1.207729469,4.14,0.1
05/07/2022,4.11,4.15,4.07,4.11,12628150,0,0,4.11,0.08
04/07/2022,4.2,4.21,4.12,4.13,12124570,-0.07,-1.666666667,4.165,0.09
01/07/2022,4.2,4.24,4.2,4.22,11128160,0.02,0.476190476,4.22,0.04
30/06/2022,4.25,4.26,4.2,4.22,15622670,-0.03,-0.705882353,4.23,0.06
29/06/2022,4.18,4.27,4.18,4.27,21175789,0.09,2.153110048,4.225,0.09
28/06/2022,4.16,4.2,4.16,4.19,14152350,0.03,0.721153846,4.18,0.04
27/06/2022,4.16,4.19,4.12,4.16,13965560,0,0,4.155,0.07
24/06/2022,4.1,4.19,4.07,4.18,13547130,0.08,1.951219512,4.13,0.12
23/06/2022,4.03,4.1,4,4.1,14853850,0.07,1.736972705,4.05,0.1
22/06/2022,4.09,4.09,4.02,4.02,15478810,-0.07,-1.711491443,4.055,0.07
21/06/2022,4.04,4.09,4.03,4.09,14465620,0.05,1.237623762,4.06,0.06
20/06/2022,4.12,4.16,4.02,4.02,15922790,-0.1,-2.427184466,4.09,0.14
17/06/2022,4.16,4.18,4.1,4.1,28847750,-0.06,-1.442307692,4.14,0.08
16/06/2022,4.19,4.19,4.13,4.16,14053990,-0.03,-0.715990453,4.16,0.06
15/06/2022,4.16,4.19,4.15,4.17,13778360,0.01,0.240384615,4.17,0.04
14/06/2022,4.14,4.19,4.14,4.18,12568430,0.04,0.966183575,4.165,0.05
13/06/2022,4.17,4.19,4.12,4.17,14850490,0,0,4.155,0.07
10/06/2022,4.17,4.19,4.14,4.18,12366940,0.01,0.239808153,4.165,0.05
09/06/2022,4.14,4.17,4.13,4.17,15294760,0.03,0.724637681,4.15,0.04
08/06/2022,4.15,4.16,4.12,4.15,13361930,0,0,4.14,0.04
07/06/2022,4.15,4.16,4.11,4.16,14870710,0.01,0.240963855,4.135,0.05
06/06/2022,4.11,4.16,4.09,4.14,19100939,0.03,0.729927007,4.125,0.07
03/06/2022,4.15,4.15,4.08,4.12,14102740,-0.03,-0.722891566,4.115,0.07
02/06/2022,4.13,4.16,4.11,4.14,19074770,0.01,0.242130751,4.135,0.05
01/06/2022,4.15,4.16,4.1,4.13,17773801,-0.02,-0.481927711,4.13,0.06
31/05/2022,4.18,4.19,4.11,4.19,83928094,0.01,0.23923445,4.15,0.08
30/05/2022,4.13,4.19,4.12,4.17,19426340,0.04,0.968523002,4.155,0.07
27/05/2022,4.08,4.15,4.08,4.11,17204449,0.03,0.735294118,4.115,0.07
26/05/2022,4.07,4.12,4.07,4.08,17255410,0.01,0.245700246,4.095,0.05
25/05/2022,4.02,4.08,3.98,4.06,17496529,0.04,0.995024876,4.03,0.1
24/05/2022,4.08,4.1,3.92,4,18956859,-0.08,-1.960784314,4.01,0.18
23/05/2022,4.1,4.11,4.04,4.11,18069141,0.01,0.243902439,4.075,0.07
